Fiber 2: Spring Idx,x (mm),y (mm),z (mm)
0,13.0,1.592040838891559e-15,0.0
1,12.68129137907368,-2.8312200036454422,0.0699190855927964
2,11.753792773505834,-5.523617973943035,0.1398381711855928
3,10.262663568870972,-7.948010032447775,0.2097572567783892
4,8.280090851962344,-9.988214754933551,0.2796763423711856
5,5.901794948566862,-11.546620760237937,0.349595427963982
6,3.2424080639067006,-12.548856729424697,0.4195145135567784
7,0.4299491393185543,-12.947340432054183,0.4894335991495748
8,-2.400338771489629,-12.723537407102787,0.5593526847423712
9,-5.112491948791077,-11.888822097580759,0.6292717703351676
10,-7.576357544055567,-10.483901476554033,0.699190855927964
11,-9.673839440698798,-8.57683029310273,0.7691099415207604
12,-11.304558708463945,-6.259714689041695,0.8390290271135568
13,-12.39065734254078,-3.6442638441562143,0.9089481127063532
14,-12.880515403440716,-0.8564044822076734,0.9788671982991496
15,-12.75120409951424,1.9697821305536893,1.048786283891946
16,-12.0095582514349,4.698508779726947,1.1187053694847424
17,-10.69181801319502,7.198806347133045,1.1886244550775389
18,-8.861858500310735,9.35080985042812,1.2585435406703351
19,-6.6080937869337095,11.051504771461369,1.3284626262631316
20,-4.039205323020964,12.219658195945575,1.398381711855928
21,-1.278901140296668,12.799698722309346,1.4683007974487243
22,1.5400414364833397,12.764359831511186,1.5382198830415208
23,4.282162694786026,12.115960993671557,1.6081389686343173
24,6.815829831024689,10.886266350511129,1.6780580542271135
25,9.01955584505883,9.134929199350951,1.74797713981991
26,10.787824700926764,6.946598426961205,1.8178962254127065
27,12.036143445497533,4.426827237588081,1.887815311005503
28,12.705079392331642,1.6969819091014395,1.9577343965982992
29,12.763089475182477,-1.1116038554900292,2.0276534821910954
30,12.208007088900558,-3.863947424947375,2.097572567783892
31,11.067116359365942,-6.427904601078921,2.1674916533766884
32,9.395811707707898,-8.680514057191111,2.237410738969485
33,7.274908531363014,-10.513894248095463,2.3073298245622813
34,4.806735551053742,-11.840409992169722,2.3772489101550778
35,2.11019776262426,-12.5968612943153,2.4471679957478742
36,-0.6849518125200977,-12.747494196502267,2.5170870813406703
37,-3.4443556215751108,-12.285690229765319,2.5870061669334667
38,-6.03550989331667,-11.234254660464162,2.656925252526263
39,-8.334127331050622,-9.644291111416099,2.7268443381190597
40,-10.23009865582906,-7.592718054286807,2.796763423711856
41,-11.632767050573609,-5.178547850462011,2.8666825093046526
42,-12.475262851791049,-2.5181083352923177,2.9366015948974487
43,-12.717691233937137,0.2605624482901835,3.006520680490245
44,-12.349020939095816,3.0238782785077634,3.0764397660830416
45,-11.387584654643955,5.639126989311056,3.146358851675838
46,-9.880168421938652,7.980844158217193,3.2162779372686345
47,-7.89973525763199,9.936832142231093,3.286197022861431
48,-5.541893728193251,11.413535705181568,3.356116108454227
49,-2.920282390717388,12.340516681061729,3.4260351940470235
50,-0.16109291420082786,12.673813659025807,3.49595427963982
51,2.603004159471859,12.398026452410418,3.5658733652326164
52,5.239238631985182,11.527026532838168,3.635792450825413
53,7.6211181098257565,10.103260713009202,3.7057115364182094
54,9.634497376460748,8.195682968111447,3.775630622011006
55,11.183048454850812,5.896415146825658,3.845549707603802
56,12.19286922621938,3.3162982767789653,3.9154687931965984
57,12.61601011931665,0.5795492930860509,3.985387878789395
58,12.432750581013057,-2.182219231484652,4.055306964382191
59,11.652517265799496,-4.83632844303149,4.125226049974987
60,10.313401237377537,-7.255407265946032,4.195145135567784
61,8.480298815319546,-9.323504947421247,4.26506422116058
62,6.241766787015566,-10.941648746262464,4.334983306753377
63,3.705744366551102,-12.032580379652355,4.404902392346173
64,0.9943485603906457,-12.54444456406799,4.47482147793897
65,-1.7620061049017057,-12.453253555954134,4.544740563531766
66,-4.43088034265033,-11.764010573709237,4.614659649124563
67,-6.884173642848032,-10.510439523423388,4.684578734717359
68,-9.004272826005185,-8.753335450618131,4.7544978203101556
69,-10.689690496900479,-6.577616378064479,4.824416905902952
70,-11.85992308857948,-4.088219484613344,4.8943359914957485
71,-12.459295953135157,-1.4050399435718832,4.964255077088544
72,-12.45961185314596,1.3428434807528682,5.0341741626813405
73,-11.861476875813155,4.02337797229918,5.104093248274137
74,-10.694241451628196,6.5078826188592025,5.1740123338669335
